match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_rating_start,loser_rating_start,winner_rating_end,loser_rating_end,winner_rd_end,loser_rd_end
442,559,Rodrigo Medeiros,1994,Travis Lutter,POINTS,,2,0,,99KG,M,R1,2000,106,1500.0,1500.0,1423.0522792374586,1337.6891050238826,195.0870418905752,290.3189646747521
413,515,Royler Gracie,727,Alexandre de Freitas,POINTS,,5,0,,66KG,M,F,2000,107,2176.8209769312234,1966.3452261507261,2340.2316813554958,1989.1143469752042,189.34167216999842,168.8111249680186
416,687,Marcio Feitosa,-1,Caol Uno,POINTS,,2,0,,77KG,M,R1,2000,108,1500.0,1177.0012896552544,1642.052080282747,1117.265807457823,215.30153650446968,263.289759957417
451,6167,Ricco Rodriguez,-1,Carlos Barreto,DECISION,,-1,-1,,+99KG,M,R1,2000,109,1812.0411583355449,1500.0,1779.1895543317062,1490.3279184407515,155.13218152596804,291.62916915118717
457,6167,Ricco Rodriguez,-1,Ricardo Moraes,DECISION,,-1,-1,,+99KG,M,SF,2000,110,1812.0411583355449,1305.2269234041933,1779.1895543317062,1270.8515819992717,155.13218152596804,271.65784185480794
429,591,Ricardo Liborio,4302,Toshiyuki Oyama,SUB,RNC,-1,-1,,88KG,M,R1,2000,111,1675.905543225484,1500.0,1724.6117335592753,1333.619039779039,160.90536098042256,277.3453776037587
437,481,Saulo Ribeiro,4302,Dave Menne,SUB,RNC,-1,-1,,88KG,M,4F,2000,112,1692.6584547797343,1500.0,1945.4248660206251,1294.785394390267,160.49879076018087,279.0592022374285
459,-1,Mark Kerr,419,Leonardo Vieira,POINTS,,-1,-1,,ABS,M,R1,2000,113,1500.0,1500.0,2072.387480046591,1463.4280344712,197.27033678714452,202.3805329670828
443,-1,Matt Hughes,278,Ricardo Almeida,POINTS,,-1,-1,,99KG,M,R1,2000,114,1500.0,1674.282341541248,1752.7280781813843,1680.3097925928914,279.63117163792924,167.03322206748308
412,515,Royler Gracie,-1,A. Hamlet,POINTS,,10,0,,66KG,M,SF,2000,115,2176.8209769312234,1500.0,2340.2316813554958,1374.3324191256718,189.34167216999842,333.38187101917714
433,481,Saulo Ribeiro,-1,Jerry Bolander,POINTS,,2,0,,88KG,M,R1,2000,116,1692.6584547797343,1305.2269234041933,1945.4248660206251,1260.732628895657,160.49879076018087,262.2926187197352
452,1817,Rigan Machado,3357,Jose Mario Queiroga,POINTS,,3,0,,+99KG,M,R1,2000,117,1429.2189641152127,1500.0,1497.8438285768548,1296.1268712752783,171.8684254163219,269.64689864821577
492,-1,Mark Kerr,232,Jose Mario Sperry,POINTS,,-1,-1,,ABS,M,SPF,2001,118,2072.387480046591,2121.7018382490937,2223.926222912864,1996.6140931091504,177.2880874865065,163.43024144565825
532,-1,Sanae Kikuta,481,Saulo Ribeiro,POINTS,,3,0,,88KG,M,F,2001,119,1337.6891050238826,1945.4248660206251,1837.0661022258448,1863.651530377547,278.2348236808623,138.91785923062326
504,515,Royler Gracie,1023,Baret Yoshida,POINTS,,2,0,,66KG,M,F,2001,120,2340.2316813554958,1403.9133177954627,2484.001719745356,1805.1542187629404,183.5086555585446,187.76721893719943
569,88,Jean Jacques Machado,278,Ricardo Almeida,POINTS,,3,0,,ABS,M,SF,2001,121,2006.0937287674153,1680.3097925928914,1969.2341251137796,1771.0059468831676,145.27452103585455,131.05234142620057
512,10579,Rodrigo Gracie,-1,Gavin Kulper,SUB,Submission,-1,-1,,77KG,M,4F,2001,122,1990.8604625088492,1500.0,1770.6535040277313,1330.8687405342105,179.48553533781154,316.57422890822477
521,481,Saulo Ribeiro,1994,Travis Lutter,POINTS,,2,0,,88KG,M,R1,2001,123,1945.4248660206251,1337.6891050238826,1863.651530377547,1320.8528062378614,138.91785923062326,278.2347304728858
550,-1,Sean Alvarez,9,Marcio Cruz,POINTS,,-1,-1,,+99KG,M,4F,2001,124,1654.3823217636466,1500.0,1765.2509814795076,1856.9216598039131,251.36715347814084,199.5303693685225
528,6518,Egan Inoue,591,Ricardo Liborio,DECISION,,-1,-1,,88KG,M,4F,2001,125,1661.167292223104,1724.6117335592753,1642.7151868989788,1713.8824518480728,204.94326469659634,146.98069670549745
493,515,Royler Gracie,4302,Martin Brown,SUB,RNC,-1,-1,,66KG,M,R1,2001,126,2340.2316813554958,1500.0,2484.001719745356,1404.2134913297114,183.5086555585446,342.40315026591946
500,515,Royler Gracie,4759,Mike Cardosa,SUB,Footlock,-1,-1,,66KG,M,4F,2001,127,2340.2316813554958,1500.0,2484.001719745356,1337.6885785704394,183.5086555585446,342.4031527265589
561,481,Saulo Ribeiro,-1,T. Yano,POINTS,,11,2,,ABS,M,R1,2001,128,1945.4248660206251,1455.1828240471568,1863.651530377547,1303.5052972201313,138.91785923062326,272.3216637271325
