Fighter,Rating,RD
Halm Gocalli,1332.516484274533,267.47
E. Karppinen,1331.1966688047223,290.32
Bia Mesquita,1331.1966688047223,290.32
Gavin Kulper,1330.8687405342105,316.57
Kurt Pellegrino,1328.7235305734775,335.28
Tom Barlow,1327.1725966804825,267.17
Osman Kasimov,1325.5302579432764,270.08
Peter Angerer,1324.6014874388848,275.18
Ezra Lenon,1323.8886390364387,323.68
Thomas Halpin,1323.3704223259865,265.7
Jose Junior,1322.111236509918,307.66
Rodrigo Artilheiro,1321.5671897599727,313.54
Adam Sachnoff,1321.1555067508566,277.15
Travis Lutter,1320.8528062378614,278.23
Servio Tulio,1320.230670940834,265.81
Roan Jucao,1320.0056706662444,277.25
Robert Sulski,1318.7525718210763,298.17
Kaynan D.,1317.5869786140995,299.76
Don Ortega,1317.0819112942186,258.67
T. Suzuki,1316.7562032997992,264.36
Gamrot Mateusz,1316.0178885301054,274.11
Dillon Danis,1314.808043461017,214.39
Yoshitomi Mishima,1314.3021781205985,293.95
Gabriel Lucas,1314.1819171748484,232.23
Paul Ardila-Ibarra,1313.9419025963084,247.04
Rodrigo Minotauro,1313.0874766645597,291.63
Mike Mrkulic,1312.7777804850682,291.33
Julia Maele,1312.7099427916244,291.19
Joaquim Hansen,1311.4617237232324,289.56
Daniel Simoes,1310.9067669275973,260.53
Ben Askren,1310.3144413674322,288.24
Jason Manly,1309.1486733756853,282.08
Lucio Lagarto,1308.8622528536405,286.22
Ben Dyson,1308.6089913740502,265.77
Yuji Arai,1307.8652084975802,266.32
Kit Dale,1307.5690602920426,258.46
Joey Gilbert,1306.400011560644,283.08
Mikael Knutsson,1305.2269234041933,290.32
Carlos Newton,1305.2269234041933,290.32
Carlos Machado,1305.2269234041933,290.32
Luis Roberto,1305.2269234041933,290.32
Joao Roque,1305.2269234041933,290.32
Rodrigo Modrias,1305.2269234041933,290.32
Egan Inoe,1305.2269234041933,290.32
Luis Orlando,1305.2269234041933,290.32
Vernon White,1305.2269234041933,290.32
Oleg Taktarov,1305.2269234041933,290.32
Rikako Yuasa,1305.2269234041933,290.32
Elisabeth Clay,1305.2269234041933,290.32
Asa Fuller,1305.2269234041933,290.32
Elvira Karppinen,1305.2269234041933,290.32
Fernando Vieira,1305.2269234041933,290.32
Janne Pietilainen,1305.2269234041933,290.32
Jehad Hamdan,1305.2269234041933,290.32
Cameron Earle,1305.2269234041933,290.32
Eleftheria Christodoulou,1305.2269234041933,290.32
T. Yano,1303.5052972201313,272.32
George St,1301.8621654277506,284.68
Yuki Ozawa,1300.78995640782,262.04
Nicky Ryan,1300.122599557233,201.92
Perttu Terpponnen,1298.4097739793892,254.83
Kamil Wilk,1297.6858360965346,268.52
Yukissyu Ozawa,1297.3367260093817,259.34
Jose Mario Queiroga,1296.1268712752783,269.65
Dave Menne,1294.785394390267,279.06
Eduardo Rios,1293.58718063362,276.01
Fellipe Andrew,1293.3199220155623,280.11
Timo-Juhani,1292.977028651931,244.25
Nieman Gracie,1292.9626056772856,270.83
John Combs,1292.9119931346927,272.34
Nicholas Renier,1292.4645608625274,271.77
Nathan Marquardt,1291.737675703624,267.86
M. Van,1291.5533401251914,272.84
Pedro Marinho,1290.323103008292,207.05
Nate Marquardt,1289.8580042410322,273.72
Michael Perez,1289.779634704934,253.4
Jamie Ballard,1288.995832064887,290.32
Satori Kitaoka,1288.995832064887,290.32
Erza Lennon,1288.995832064887,290.32
Joseph Lee,1288.995832064887,290.32
James Poupolo,1288.995832064887,290.32
Jimmy Freidrich,1288.995832064887,290.32
Erico Cocco,1288.995832064887,290.32
R. Alvarenga,1288.995832064887,290.32
Hiroshi Nakamura,1288.995832064887,290.32
Jayson Patino,1288.995832064887,290.32
Chris Bright,1288.995832064887,290.32
Igor Praporschchikov,1288.995832064887,290.32
Wellington Dias,1288.995832064887,290.32
Daniel Strauss,1288.995832064887,290.32
Dan Schon,1288.995832064887,290.32
Van Arsdale,1288.995832064887,290.32
Tobias G,1288.995832064887,290.32
Asadulaev Surkhay,1288.995832064887,290.32
Takanori Gomi,1288.995832064887,290.32
Henrique Cardoso,1288.995832064887,290.32
Yuta Sasaki,1288.995832064887,290.32
Kiuma Kunioku,1288.995832064887,290.32
Alexandre Vieira,1288.995832064887,290.32
Michael Wilson,1288.995832064887,290.32
Juskowiak Mateusz,1288.995832064887,290.32
Teemu Launis,1288.995832064887,290.32
Gabriel Almeida,1288.995832064887,290.32
Kitner Mendoga,1288.995832064887,290.32
Alian Drueco,1288.995832064887,290.32
Jason White,1288.995832064887,290.32
Youngnam Noh,1288.995832064887,290.32
Eldar Rafigaev,1288.995832064887,290.32
Ryan Harvey,1288.995832064887,290.32
Nicollas Renier,1288.995832064887,290.32
Leandro Lo,1288.995832064887,290.32
Hiroyuko Abe,1288.995832064887,290.32
M. Yano,1288.995832064887,290.32
H. Kanehara,1288.995832064887,290.32
Young-Ahm,1288.995832064887,290.32
Jurie Rachel,1288.995832064887,290.32
Adrian Serrano,1288.995832064887,290.32
Mourat Ozov,1288.995832064887,290.32
Gao Hua,1288.995832064887,290.32
Bob Schirmer,1288.995832064887,290.32
Yousef Elzien,1288.995832064887,290.32
Juan Valles,1288.995832064887,290.32
William Tackett,1288.995832064887,290.32
Ilir Lafiti,1284.0163472361212,247.23
Michelle Nicolini,1282.5033954222693,290.32
Felipe Cesar,1281.2975975995898,266.03
Andy Varela,1280.8756956519449,257.84
Wagnney Fabiano,1280.015954639724,272.71
Eliott Kelly,1275.4783222995954,229.16
Ricardo Mesquita,1274.0148687725327,266.55
Joe Gilbert,1273.1986051505482,313.62
Melchor M.,1272.7647403378485,290.32
Fabiano Iha,1272.7647403378485,290.32
Darren Andy,1271.5885299107447,248.88
Ricardo Moraes,1270.8515819992717,271.66
Rodrigo Cavaca,1270.041421263797,230.59
Alex Negao,1269.2906534479957,299.22
Magid Hage,1266.196825853422,263.92
Abdulkadirov Magomed,1264.5938835132267,231.82
Allan Teo,1264.4454182881427,263.29
Tero Pyylampi,1263.488610304958,249.01
Mario Delgado,1262.852991279024,272.71
James Brasco,1262.8145596783602,232.55
Pete Williams,1261.2250122423118,269.65
Jerry Bolander,1260.732628895657,262.29
Enson Inoe,1259.8607276708701,324.35
Morris Clifoni,1259.4158055666799,267.5
