Fighter,Peak Rating
Renan Sancar,1210.4552934155083
Edwin Najmi,1210.1689190989384
Jason Ramsterrer,1204.0857719225892
Carina Santi,1203.2010912769324
Bruno Bastos,1202.7190306520056
Hideki Sekine,1196.8416972461362
N. Uematsu,1193.2096153528853
Tomas Szczerek,1192.9042247239263
Robin Gracie,1177.0012896552544
Luis Brito,1177.0012896552544
Caol Uno,1177.0012896552544
Otto Olsen,1177.0012896552544
Mayssa Bastos,1174.8062279509547
Cristiano Lazzarini,1151.8182971745787
Matt Lindland,1150.044879343729
Antoine Joude,1138.8311150889049
Eoghan OFlanagan,1123.144590458949
Mike Van,1121.6032854260886
Y. Ozawa,1118.4001180331059
